channelid                                                                                                                       ,contactid           ,contactkey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,addressid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,isactive,createddate            ,modifieddate           
--------------------------------------------------------------------------------------------------------------------------------,--------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------,-----------------------,-----------------------
9C2BAD74-2E7A-4BC8-A60E-45E58BBC8C38                                                                                            ,                NULL,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,59CE9055-BCBA-4A29-A7EC-45BFBD2675B6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,                   NULL,                   NULL
D3537CF0-E1A5-4BA6-AABD-A28CA55CFACD                                                                                            ,            24346760,24346760@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,7AF850F5-5ABD-4339-A15C-D86790549E06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-09-28 20:19:00.000,2022-09-28 20:19:00.000
28484E4D-409F-49B0-A34C-83F6793D7F93                                                                                            ,            36937586,36937586@yahoo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,9E3C3973-E6C3-4568-8087-088451C50EB8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
E48DF7BB-B0EF-4216-946B-3395AFE72EE3                                                                                            ,            42357134,42357134@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,8010D16F-F865-4CEF-84AE-C87578C108B7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
985694CF-025E-48F0-8958-213223F556CB                                                                                            ,            43444340,43444340@hotmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,3DCFA15F-EDB2-4D0E-9843-BBDE4ED0DE2F                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
0141563B-C595-4DBD-9858-2C1CDA5E9FC9                                                                                            ,            29789283,29789283@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,97B61F80-523D-47B5-94CA-911044921569                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
76F54A8E-4387-42BA-85BF-D6DAC1B6E10C                                                                                            ,             9064529,9064529@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,1812E574-49FD-4EC1-8DBC-7116E7328ACE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
D358EB28-7BF2-4300-86F1-5CE6525E42F8                                                                                            ,            43440570,43440570@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,145B137B-3695-4EE7-8664-0FA65AA8803B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
FB0D7C36-CDD5-4B42-8B9B-D260669E17C6                                                                                            ,            43491814,43491814@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,F7385AFF-3E53-488E-A390-77440D30663A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
